speed,deceleration,deltadistance,delta_time,detection
46.81,4.5515,222.7023,2.494107723,TRUE
46.81,4.5515,222.7023,2.494107723,TRUE
46.29,4.5515,44.6438,1.017027855,TRUE
45.27,0.0942,39.2036,0.910547495,TRUE
45.27,-0.8096,24.822,0.52557826,FALSE
45.27,0.364,19.287,0.421827793,FALSE
45.27,-0.7111,25.8121,0.522847891,FALSE
44.24,1.6862,18.8842,0.45049572,FALSE
44.24,-2.0021,30.05,0.566532612,FALSE
43.72,1.3813,26.4684,0.58700943,FALSE
43.21,0.7888,33.6623,0.879149437,FALSE
43.21,-0.3721,40.9118,0.977438927,FALSE
42.18,0.0259,41.5725,0.999281406,FALSE
41.66,-0.1122,47.468,1.108492613,FALSE
40.12,0.5754,34.7119,0.922833443,FALSE
39.09,-0.391,19.3553,0.490084171,FALSE
38.06,-1.7971,21.142,0.446400642,FALSE
37.55,4.7698,11.8499,0.451860905,FALSE
37.03,-3.624,25.8115,0.55970645,FALSE
37.03,4.2833,11.9344,0.417732,FALSE
35.49,-1.9629,21.816,0.555612326,FALSE
34.98,2.4579,14.6049,0.574724197,FALSE
33.95,-4.5791,25.3653,0.520117044,TRUE
33.43,4.8031,12.6111,0.533769131,TRUE
32.4,-0.9774,11.5854,0.419097185,TRUE
31.89,-1.5776,21.8717,0.593835592,TRUE
31.38,0.8344,17.2129,0.52967453,TRUE
29.83,0.1245,18.5282,0.582913399,TRUE
29.83,0.8438,14.7335,0.53922987,TRUE
29.32,-0.81,18.776,0.58700943,TRUE
27.77,2.0214,11.0162,0.49827528,TRUE
26.75,-2.7005,18.528,0.517387629,TRUE
26.23,4.6934,6.957,0.402715683,TRUE
25.72,-1.7097,15.5665,0.57745409,TRUE
24.69,0.5967,10.0586,0.409541845,TRUE
24.69,0.2236,11.6325,0.49554491,TRUE
23.66,-0.3181,14.5585,0.576089144,TRUE
23.14,0.8102,11.3623,0.541959286,TRUE
23.14,-1.4328,11.2098,0.417732477,TRUE
22.63,0.0067,11.6005,0.432749033,TRUE
21.6,1.4345,9.899,0.501005411,TRUE
21.09,0.4965,8.2048,0.469608068,TRUE
20.57,-0.2691,11.3622,0.596565723,TRUE
20.06,-1.8844,14.0783,0.498275757,TRUE
19.03,3.6857,5.4869,0.421827316,TRUE
19.03,-1.9685,11.5841,0.507831812,TRUE
18,0.3956,16.4612,0.842290401,TRUE
17.49,0.6721,7.8872,0.481894255,TRUE
16.97,-0.0897,9.0342,0.536499262,TRUE
16.46,-0.0991,7.3485,0.425923347,TRUE
16.46,1.1881,5.3327,0.439574957,TRUE
15.94,-0.6133,7.3654,0.488719225,TRUE
14.91,0.1578,8.2048,0.578818798,TRUE
14.4,-0.6101,9.496,0.544690132,TRUE
14.4,1.3385,5.1975,0.451860666,TRUE
13.88,-0.7341,7.6466,0.505101442,TRUE
13.37,0.2171,8.2048,0.591112375,TRUE
12.86,0.6173,5.2499,0.477791071,TRUE
12.34,-0.0074,6.0065,0.544690371,TRUE
11.83,-0.1743,6.9912,0.581549168,TRUE
11.31,-0.0197,5.7713,0.476433277,TRUE
11.31,0.0792,5.9822,0.510561705,TRUE
10.8,0.4192,4.9413,0.514657259,TRUE
10.28,-0.4295,5.962,0.507831573,TRUE
10.28,0.4472,4.4413,0.455956221,TRUE
9.77,-0.3267,5.5082,0.487354517,TRUE
9.25,0.8348,3.5022,0.469607592,TRUE
8.74,-0.2512,4.9318,0.558341742,TRUE
8.74,0.3971,3.7423,0.563802242,TRUE
7.97,-0.9453,4.6887,0.438209534,TRUE
7.45,0.5649,3.8255,0.473703146,TRUE
7.2,0.7087,2.3439,0.563802242,TRUE
6.94,-0.8121,4.6272,0.544690132,TRUE
6.68,0.4719,2.9575,0.466877222,TRUE
6.43,0.1607,2.8621,0.518752813,TRUE
6.43,-0.0121,2.648,0.475068331,TRUE
6.17,-0.5291,4.3327,0.522847891,TRUE
6.17,0.4387,3.1515,0.521482706,TRUE
5.91,0.0369,2.5552,0.434114218,TRUE
5.91,-0.0478,3.5551,0.577453613,TRUE
5.65,0.0063,2.7775,0.453226089,TRUE
5.65,0.1666,2.5552,0.477798462,TRUE
5.4,0.064,2.4442,0.484624147,TRUE
5.4,-0.0616,2.9576,0.550150633,TRUE
5.4,-0.007,2.7774,0.513292074,TRUE
5.14,-0.1831,2.8886,0.462782145,TRUE
55.04,5.173,26.2681,0.341933966,TRUE
55.04,5.173,26.2681,0.341933966,TRUE
55.04,5.173,25.621,0.495904446,TRUE
55.04,-1.3047,29.8005,0.511905432,TRUE
55.04,1.6476,22.5707,0.441915035,TRUE
54.01,1.6148,20.5042,0.469918251,TRUE
54.01,-3.9536,34.8586,0.539891481,TRUE
54.01,1.4827,32.6473,0.581897736,TRUE
53.5,1.4702,28.0002,0.587882042,TRUE
53.5,-1.5823,29.9807,0.535898685,TRUE
52.47,1.3816,26.0069,0.533899784,TRUE
52.47,-1.4411,23.4323,0.427919388,TRUE
51.44,-0.1335,27.365,0.493906975,TRUE
50.92,0.2519,48.4658,0.911828279,FALSE
50.92,2.838,18.8315,0.469917297,FALSE
50.92,-2.4444,30.6228,0.569886684,FALSE
48.35,0.6031,48.8979,1.025808811,FALSE
47.32,-1.6581,51.055,0.833863974,FALSE
47.32,-0.2915,37.1104,0.589868307,FALSE
46.29,3.6376,27.7212,0.903834105,FALSE
45.27,-2.9535,22.5707,0.499906063,FALSE
45.27,-1.5178,22.3936,0.433913946,FALSE
45.27,2.3422,17.1645,0.405928373,FALSE
44.24,0.1853,44.1536,1.095787525,FALSE
43.21,-1.2871,46.6042,0.901841164,FALSE
41.15,0.5288,61.353,1.377730846,FALSE
40.12,0.9938,43.5112,1.415735245,FALSE
39.09,-2.0773,22.6366,0.541895628,FALSE
39.09,-2.3747,22.5109,0.433920622,FALSE
38.06,4.3066,15.5715,0.5218997,FALSE
36.52,-1.1125,39.6056,0.977818251,FALSE
36.01,0.9491,18.1091,0.505902767,FALSE
35.49,-0.3026,20.5032,0.547901392,FALSE
34.98,1.9735,13.6138,0.485904217,TRUE
34.46,-0.8087,17.8048,0.549896002,TRUE
33.95,0.8191,16.213,0.585889101,TRUE
33.43,-1.8473,20.3154,0.541898727,TRUE
32.92,1.411,16.6082,0.557895422,TRUE
32.4,-1.3865,19.4162,0.525900364,TRUE
32.4,2.5834,12.3255,0.517902136,TRUE
31.89,-1.4623,18.4614,0.575891972,TRUE
31.38,0.9933,12.2642,0.441916943,TRUE
30.86,-0.0436,14.9953,0.535899878,TRUE
30.86,-1.6589,19.5766,0.533899069,TRUE
30.35,2.0076,13.7741,0.521902084,TRUE
29.83,-0.7187,16.0324,0.531909704,TRUE
29.83,0.2194,13.9137,0.477921009,TRUE
29.32,-0.4971,14.7562,0.469890594,TRUE
28.8,-2.7892,26.2822,0.561905146,TRUE
28.8,3.2294,16.6081,0.593883991,TRUE
28.29,-0.0169,14.3587,0.51189661,TRUE
27.26,-0.4025,29.9902,0.943823338,TRUE
26.23,0.855,23.1454,0.983816862,TRUE
26.23,-0.245,11.6894,0.473927736,TRUE
25.2,1.2308,12.5653,0.96779871,TRUE
24.17,-0.9563,26.5026,1.125790596,TRUE
23.14,-0.944,34.4028,1.037823915,TRUE
22.63,6.6251,0.6471,0.489886761,TRUE
21.09,-1.5119,42.4284,1.647694349,TRUE
20.57,1.0827,10.8359,0.541893721,TRUE
20.06,0.4211,7.8993,0.433920383,TRUE
19.54,-0.1357,9.8633,0.521899462,TRUE
18,0.0964,34.0126,1.99962759,TRUE
17.49,-0.9221,9.0337,0.431921959,TRUE
17.49,0.8393,9.4289,0.585909605,TRUE
17.49,0.1904,7.3212,0.481882572,TRUE
16.97,-0.062,8.4116,0.541904688,TRUE
16.97,0.2559,8.0057,0.567888498,TRUE
16.97,-0.952,8.686,0.46990943,TRUE
16.97,-0.391,9.7987,0.481927156,TRUE
16.97,0.9958,7.0073,0.435900927,TRUE
16.46,-0.0613,7.8869,0.481930494,TRUE
16.46,-0.1108,8.6267,0.509883165,TRUE
16.46,0.7048,7.082,0.535907507,TRUE
16.46,0.3805,6.5144,0.591879606,TRUE
16.46,-0.8876,9.3939,0.583890676,TRUE
16.46,-0.9854,8.4116,0.417922735,TRUE
15.94,-0.1415,9.2937,0.447914124,TRUE
15.94,1.8004,6.0734,0.551898479,TRUE
15.94,-1.9917,9.1348,0.457913876,TRUE
15.94,0.3073,10.2244,0.559892178,TRUE
15.43,1.4105,5.8138,0.535904169,TRUE
71.5,1.929,35.2113,0.728107452,TRUE
70.99,-468.6044,33.2831,0.080004454,TRUE
70.99,36.0659,44.8489,1.056169987,TRUE
70.99,-6178.0661,143.593,0.048334122,TRUE
70.99,5244.7928,41.6727,0.02399683,TRUE
70.99,277.8747,35.4237,0.616179943,TRUE
70.99,-3.037,41.5348,0.560009956,TRUE
71.5,1.6038,66.9387,1.216198206,TRUE
71.5,-3.791,44.8308,0.584086657,TRUE
71.5,2.7405,25.9612,0.392061949,TRUE
71.5,0.5183,35.0084,0.552085161,TRUE
71.5,0.8543,29.8388,0.504140854,TRUE
71.5,-11223.5531,64.5036,0.02394104,TRUE
71.5,195.4265,36.3313,1.392226696,FALSE
71.5,-5.6782,85.1333,1.024160624,FALSE
71.5,1.4424,44.2614,0.592133522,FALSE
70.99,-0.7754,64.6796,0.800155878,FALSE
70.47,-9.8507,75.5668,0.560028553,FALSE
69.44,6.0044,67.5702,1.552320957,FALSE
68.42,-1.749,42.4368,0.752057552,FALSE
66.36,0.8803,30.6451,0.432070494,FALSE
68.42,-4.1486,33.4503,0.448058128,FALSE
57.1,-12.2056,246.3724,1.168679476,FALSE
57.1,36.0269,21.7453,0.464059114,FALSE
57.1,-1727.8406,18.8635,0.032011509,FALSE
54.01,71.2757,24.0042,0.800131321,FALSE
