landingid,lat,lon,ts,distance,elevation,speed,deceleration,deltadistance,delta_time,geometry,Runway,Area,deceleration_constraint,distance_cum,delta_time_cum,distance_constraint,speed_constraint,detection
000de98b-62bf-47e7-b19a-b63a9920dba8,45.310227,-75.653946,2021-09-13 19:52:34.955606+00,-96.3169,91.44,46.81,4.5515,222.7023,2.494107723,POINT (45.310227 -75.653946),32,approach_area,TRUE,222.7023,2.494107723,TRUE,TRUE,TRUE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.311437,-75.656211,2021-09-13 19:52:36.95582+00,126.4716,91.44,46.81,4.5515,222.7023,2.494107723,POINT (45.311437 -75.656211),32,touch_down_area,TRUE,445.4046,4.988215446,TRUE,TRUE,TRUE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.311667,-75.656678,2021-09-13 19:52:37.955907+00,171.112,91.44,46.29,4.5515,44.6438,1.017027855,POINT (45.311667 -75.656678),32,touch_down_area,TRUE,490.0484,6.005243301,TRUE,TRUE,TRUE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.311875,-75.657082,2021-09-13 19:52:38.955985+00,210.3139,91.44,45.27,0.0942,39.2036,0.910547495,POINT (45.311875 -75.657082),32,touch_down_area,TRUE,529.252,6.915790796,TRUE,TRUE,TRUE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.311994,-75.65735,2021-09-13 19:52:39.95603+00,235.0956,91.44,45.27,-0.8096,24.822,0.52557826,POINT (45.311994 -75.65734999999999),32,touch_down_area,TRUE,554.074,7.441369056,FALSE,TRUE,FALSE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.31209,-75.657555,2021-09-13 19:52:39.956066+00,254.3747,60.96,45.27,0.364,19.287,0.421827793,POINT (45.31209 -75.657555),32,touch_down_area,TRUE,573.361,7.863196849,FALSE,TRUE,FALSE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.312224,-75.657824,2021-09-13 19:52:40.956111+00,280.1868,60.96,45.27,-0.7111,25.8121,0.522847891,POINT (45.312224 -75.65782400000001),32,touch_down_area,TRUE,599.1731,8.38604474,FALSE,TRUE,FALSE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.312368,-75.657952,2021-09-13 19:52:40.95615+00,297.6905,60.96,44.24,1.6862,18.8842,0.45049572,POINT (45.312368 -75.65795199999999),32,touch_down_area,TRUE,618.0573,8.83654046,FALSE,TRUE,FALSE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.312502,-75.658285,2021-09-13 19:52:41.956198+00,327.5453,60.96,44.24,-2.0021,30.05,0.566532612,POINT (45.312502 -75.65828500000001),32,touch_down_area,TRUE,648.1073,9.403073072,FALSE,TRUE,FALSE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.312646,-75.658554,2021-09-13 19:52:41.956248+00,354.0077,60.96,43.72,1.3813,26.4684,0.58700943,POINT (45.312646 -75.658554),32,touch_down_area,TRUE,674.5757,9.990082502,FALSE,TRUE,FALSE
000de98b-62bf-47e7-b19a-b63a9920dba8,45.312832,-75.658893,2021-09-13 19:52:42.956324+00,387.654,60.96,43.21,0.7888,33.6623,0.879149437,POINT (45.312832 -75.65889300000001),32,touch_down_area,TRUE,708.238,10.86923194,FALSE,TRUE,FALSE
